order_id,order_volume,warehouse_processing_time,shipment_distance,traffic_conditions,weather_indicator,delivery_partner_rating,historical_delivery_performance,day_of_week,is_peak_season,priority,delivery_status
ORD000090,25,5.01,338.56,Medium,3.36,4.83,0.69,Wed,0,Standard,At Risk
ORD000091,45,5.73,955.58,Medium,8.21,2.67,0.31,Sat,0,Standard,Delayed
ORD000092,41,1.18,1242.12,High,0.51,3.31,0.04,Thu,1,Standard,Delayed
ORD000093,29,4.23,1194.4,High,0.07,2.53,0.83,Mon,0,Standard,Delayed
ORD000094,15,2.47,1722.78,High,1.13,3.29,0.74,Mon,0,Prime,Delayed
ORD000095,45,5.93,435.3,Low,8.74,3.85,0.05,Sun,0,Express,At Risk
ORD000096,1,1.92,355.41,Medium,5.34,4.14,0.15,Wed,0,Express,On-Time
ORD000097,25,7.19,510.49,High,5.94,4.32,1.0,Tue,0,Standard,At Risk
ORD000098,7,3.73,1783.64,Medium,8.42,4.58,0.65,Fri,0,Standard,At Risk
ORD000099,9,1.99,1882.35,Low,0.51,2.78,0.8,Fri,1,Standard,Delayed
ORD000100,24,3.79,1141.41,Medium,3.87,4.4,0.39,Tue,0,Standard,On-Time
ORD000101,1,3.57,1005.24,Low,6.43,3.2,0.52,Thu,0,Standard,Delayed
ORD000102,44,3.72,1212.74,Medium,4.05,2.85,0.62,Sun,0,Express,Delayed
ORD000103,8,4.89,1234.53,High,0.32,3.16,0.81,Sat,0,Express,Delayed
ORD000104,24,4.41,344.76,Medium,6.51,4.64,0.34,Tue,1,Express,On-Time
ORD000105,11,1.62,1374.39,Medium,3.91,4.07,0.67,Sat,0,Standard,Delayed
ORD000106,17,0.99,907.44,Medium,0.19,3.99,0.78,Tue,0,Express,At Risk
ORD000107,8,5.97,1037.18,High,1.71,3.96,0.81,Thu,0,Express,Delayed
ORD000108,35,4.7,65.48,Medium,2.18,3.52,0.5,Wed,1,Express,At Risk
ORD000109,35,3.19,1530.29,Medium,5.11,3.54,0.47,Sat,1,Standard,Delayed
ORD000110,33,6.56,1671.68,Medium,1.86,2.87,0.1,Mon,0,Prime,Delayed
ORD000111,5,3.41,1240.75,Medium,3.61,3.33,0.5,Sun,1,Standard,Delayed
ORD000112,42,6.47,1498.7,Medium,7.51,3.78,0.7,Sat,0,Standard,Delayed
ORD000113,39,2.79,1047.8,Medium,8.08,4.02,0.92,Sat,0,Express,At Risk
ORD000114,41,1.05,1238.61,High,7.95,2.68,0.13,Fri,0,Standard,Delayed
ORD000115,28,7.49,792.17,Low,6.95,3.33,0.97,Sat,0,Standard,At Risk
ORD000116,7,3.46,1584.79,Low,5.42,3.35,0.23,Fri,0,Prime,At Risk
ORD000117,9,6.45,939.2,Medium,5.51,3.79,0.18,Fri,0,Express,On-Time
ORD000118,8,2.59,1362.02,Medium,9.53,4.28,0.11,Tue,0,Standard,At Risk
ORD000119,12,5.35,1244.75,Medium,8.78,4.09,0.99,Wed,0,Express,At Risk
ORD000120,34,7.05,1406.12,High,6.5,3.93,0.56,Wed,1,Standard,Delayed
ORD000121,33,0.81,1571.51,Low,4.68,3.23,0.27,Sat,0,Standard,Delayed
ORD000122,48,6.73,1027.86,Low,7.29,4.6,0.32,Tue,0,Express,At Risk
ORD000123,23,4.78,1627.07,Low,0.63,4.46,0.95,Thu,0,Standard,At Risk
ORD000124,24,5.06,997.03,High,9.45,2.96,0.9,Thu,1,Prime,Delayed
ORD000125,37,4.42,1913.49,Low,5.48,4.14,0.35,Wed,1,Standard,At Risk
ORD000126,35,7.06,1506.58,Medium,5.03,4.77,0.06,Tue,1,Prime,Delayed
ORD000127,44,0.83,346.43,Medium,2.91,3.59,0.83,Sat,1,Express,At Risk
ORD000128,40,2.46,1660.02,Medium,0.03,4.81,0.91,Fri,0,Standard,At Risk
ORD000129,22,7.07,1105.42,Low,0.61,2.55,0.84,Sun,0,Express,Delayed
ORD000130,27,6.14,1969.0,Medium,2.63,3.79,0.91,Mon,1,Prime,Delayed
ORD000131,35,0.63,1439.04,Medium,5.42,3.14,0.58,Wed,1,Standard,Delayed
ORD000132,1,4.38,173.36,High,0.84,3.16,0.84,Fri,0,Express,At Risk
ORD000133,35,4.47,792.95,High,9.72,4.69,0.94,Wed,0,Standard,On-Time
ORD000134,37,3.51,1036.96,Medium,4.11,3.28,0.89,Sun,0,Express,Delayed
ORD000135,47,2.73,1678.83,High,3.16,2.56,0.59,Mon,1,Express,Delayed
ORD000136,14,5.61,1460.04,Low,5.25,3.85,0.75,Sat,0,Prime,At Risk
ORD000137,3,2.06,741.87,Medium,0.65,4.93,0.72,Thu,0,Express,At Risk
ORD000138,1,6.49,1308.6,Medium,8.5,2.7,0.8,Wed,1,Standard,Delayed
ORD000139,5,6.52,1155.94,Medium,4.6,3.22,0.23,Sat,1,Standard,Delayed
ORD000140,26,3.61,256.47,Low,1.78,3.67,0.0,Tue,0,Express,On-Time
ORD000141,14,2.63,473.54,Medium,1.62,4.58,0.51,Thu,0,Standard,At Risk
ORD000142,39,2.63,685.54,Low,3.61,3.17,0.77,Thu,0,Express,At Risk
ORD000143,27,4.12,394.99,Medium,5.73,3.36,0.13,Fri,0,Standard,At Risk
ORD000144,9,5.9,304.52,Low,4.17,3.46,0.53,Tue,0,Prime,At Risk
ORD000145,15,3.19,121.1,Medium,5.97,3.45,0.31,Sat,0,Express,At Risk
ORD000146,15,5.08,1746.84,Medium,7.05,3.0,0.84,Wed,0,Standard,Delayed
ORD000147,26,3.37,581.44,Medium,7.48,4.79,0.1,Sun,0,Standard,At Risk
ORD000148,42,2.78,584.19,Medium,4.01,4.48,0.85,Wed,1,Express,At Risk
ORD000149,13,0.69,416.43,Low,7.17,4.94,0.61,Tue,0,Standard,At Risk
ORD000150,32,0.53,953.42,Low,1.42,3.43,0.92,Thu,0,Express,At Risk
ORD000151,39,2.2,1030.91,Medium,5.13,2.61,0.94,Wed,1,Express,Delayed
ORD000152,49,3.55,420.52,High,0.73,2.79,0.81,Wed,0,Standard,At Risk
ORD000153,32,6.88,1219.1,Medium,2.44,3.39,0.53,Wed,1,Standard,Delayed
ORD000154,4,6.49,1447.38,Medium,5.83,4.78,0.14,Mon,0,Standard,Delayed
ORD000155,30,2.5,750.81,High,7.4,4.95,0.23,Tue,1,Standard,At Risk
ORD000156,37,2.33,1172.98,High,0.95,4.55,0.42,Mon,1,Standard,Delayed
ORD000157,23,2.2,1007.09,Medium,2.07,3.1,0.73,Mon,0,Standard,Delayed
ORD000158,39,3.04,395.12,Medium,9.92,4.15,0.54,Fri,0,Express,On-Time
ORD000159,45,4.24,1461.37,High,3.38,3.99,0.44,Wed,1,Prime,Delayed
ORD000160,15,3.79,1603.9,High,2.84,4.56,0.48,Mon,0,Prime,Delayed
ORD000161,43,2.14,1299.34,Medium,0.85,3.77,0.74,Tue,0,Prime,At Risk
ORD000162,29,1.48,651.17,Medium,6.95,3.3,0.03,Fri,0,Express,At Risk
ORD000163,36,0.59,1853.95,Medium,5.08,2.55,0.44,Fri,1,Prime,Delayed
ORD000164,13,1.65,913.44,Medium,1.58,4.49,0.57,Sat,0,Standard,At Risk
ORD000165,32,5.79,535.43,High,6.33,3.83,0.59,Sun,0,Express,On-Time
ORD000166,7,2.33,819.43,Medium,5.26,3.84,0.62,Thu,0,Express,On-Time
ORD000167,22,4.01,1385.69,Low,5.65,4.89,0.05,Thu,0,Prime,At Risk
ORD000168,28,4.93,1692.63,Low,9.95,3.72,0.56,Fri,0,Standard,At Risk
ORD000169,2,7.15,716.37,High,0.29,3.29,0.55,Tue,1,Express,Delayed
ORD000170,42,7.17,469.09,Medium,9.15,3.35,0.85,Mon,1,Standard,At Risk
ORD000171,45,6.09,1254.85,Medium,8.42,2.53,0.76,Thu,0,Express,Delayed
ORD000172,6,0.76,1842.82,Low,4.15,2.81,0.03,Mon,1,Express,Delayed
ORD000173,28,4.81,370.67,Medium,8.81,2.61,0.56,Sun,1,Prime,At Risk
ORD000174,28,6.4,1607.02,Low,6.49,3.11,0.69,Tue,0,Prime,Delayed
ORD000175,44,0.63,955.83,Medium,8.89,2.66,0.58,Mon,0,Standard,At Risk
ORD000176,44,4.62,1600.03,Medium,5.95,3.33,0.68,Fri,0,Standard,At Risk
ORD000177,20,6.93,1013.55,Medium,2.16,2.82,0.12,Thu,0,Prime,Delayed
ORD000178,30,4.06,757.77,High,5.76,4.79,0.17,Tue,0,Prime,At Risk
ORD000179,11,0.53,1395.0,Low,1.79,4.85,0.58,Fri,1,Standard,Delayed
ORD000180,28,0.58,1801.75,Low,1.41,4.01,0.8,Sun,0,Express,At Risk
ORD000181,25,3.62,643.9,Low,6.54,4.51,0.03,Tue,1,Express,On-Time
ORD000182,39,1.66,924.19,Low,9.47,4.19,0.44,Sun,0,Prime,On-Time
ORD000183,33,5.48,462.65,Low,5.88,4.53,0.99,Sat,1,Express,At Risk
ORD000184,1,5.82,370.9,Medium,7.96,4.1,0.77,Thu,0,Express,On-Time
ORD000185,27,1.83,1556.89,Medium,1.68,3.58,0.45,Mon,1,Prime,Delayed
ORD000186,13,7.16,405.32,High,6.54,4.68,0.1,Tue,1,Standard,At Risk
ORD000187,41,3.81,1587.67,Low,7.33,3.6,0.36,Thu,0,Prime,On-Time
ORD000188,3,1.57,861.29,Medium,0.42,3.49,0.15,Sat,1,Standard,Delayed
ORD000189,39,6.23,1990.12,High,0.97,4.06,0.92,Sat,1,Express,Delayed
ORD000190,6,6.42,398.7,Low,7.82,4.84,0.69,Fri,0,Prime,On-Time
ORD000191,8,5.29,190.49,Medium,4.4,3.61,0.86,Thu,0,Express,At Risk
ORD000192,27,6.9,155.49,Medium,4.06,3.94,0.9,Mon,0,Standard,At Risk
ORD000193,9,6.03,1671.66,Medium,9.2,3.73,0.61,Sun,0,Standard,Delayed
ORD000194,37,7.12,878.36,Medium,9.92,4.77,0.01,Thu,0,Standard,At Risk
ORD000195,33,3.75,11.23,Medium,7.64,4.19,0.56,Sun,0,Express,On-Time
ORD000196,42,6.11,1750.17,Medium,7.93,3.55,0.8,Fri,0,Prime,At Risk
ORD000197,44,8.0,1754.46,Medium,2.08,4.02,0.31,Fri,0,Prime,Delayed
ORD000198,24,5.94,1613.8,Low,1.92,2.89,0.93,Tue,1,Express,Delayed
ORD000199,15,1.36,500.4,High,9.81,3.35,1.0,Fri,0,Standard,At Risk
ORD000200,32,4.39,748.64,Medium,6.95,4.34,0.55,Wed,0,Express,On-Time
ORD000201,32,4.91,1491.13,Medium,6.87,3.91,0.53,Fri,0,Prime,At Risk
ORD000202,24,1.81,981.26,High,2.86,3.29,0.66,Sun,0,Standard,Delayed
ORD000203,41,7.72,311.88,Medium,8.86,3.41,0.57,Mon,0,Prime,At Risk
ORD000204,49,1.82,489.38,Low,0.44,4.52,0.16,Fri,1,Standard,At Risk
ORD000205,49,1.83,1945.32,Medium,2.75,3.85,0.27,Tue,0,Standard,Delayed
ORD000206,12,7.36,306.27,Medium,1.8,3.1,0.2,Sun,0,Standard,Delayed
ORD000207,39,3.99,1453.53,Medium,7.11,3.24,0.07,Fri,0,Prime,At Risk
ORD000208,2,0.97,958.65,High,7.15,3.67,0.14,Thu,1,Express,At Risk
ORD000209,3,4.99,1498.46,Low,5.35,4.41,0.97,Sat,0,Standard,At Risk
ORD000210,49,5.01,1323.92,Low,0.05,4.99,0.55,Sat,0,Prime,Delayed
ORD000211,37,0.98,881.14,Medium,8.74,2.96,0.13,Thu,1,Standard,At Risk
ORD000212,49,7.79,711.05,Medium,9.56,4.39,0.71,Thu,0,Standard,At Risk
ORD000213,17,4.58,1509.95,Low,2.02,4.04,0.48,Wed,1,Standard,Delayed
ORD000214,49,4.7,649.67,High,8.42,3.83,0.22,Tue,0,Standard,At Risk
ORD000215,2,4.4,1576.6,Low,9.73,4.92,0.94,Thu,1,Prime,On-Time
ORD000216,2,5.08,1361.29,Low,3.27,3.31,0.22,Sun,0,Express,At Risk
ORD000217,28,2.48,1157.45,High,1.85,2.94,0.1,Thu,1,Standard,Delayed
ORD000218,23,2.65,740.76,Medium,9.78,4.69,0.21,Sun,1,Standard,At Risk
ORD000219,37,4.34,414.14,High,0.6,2.67,0.91,Sun,0,Standard,Delayed
ORD000220,32,6.55,1422.29,Low,2.76,4.54,0.86,Sat,0,Express,Delayed
ORD000221,33,0.87,187.24,Low,7.42,3.97,0.89,Thu,1,Standard,On-Time
ORD000222,1,5.03,1941.23,Medium,6.17,2.91,0.92,Sat,0,Standard,Delayed
ORD000223,19,6.55,1957.6,High,6.85,3.07,0.08,Sun,1,Express,Delayed
ORD000224,2,1.68,264.79,Medium,7.08,2.89,0.71,Sat,0,Standard,At Risk
ORD000225,44,0.61,212.35,Low,6.86,4.3,0.66,Tue,0,Express,On-Time
ORD000226,26,2.85,828.37,Medium,3.42,2.87,0.99,Sun,0,Express,At Risk
ORD000227,32,4.91,1927.55,Low,3.12,4.2,0.71,Sun,1,Standard,At Risk
ORD000228,6,1.54,803.62,High,4.28,2.82,0.79,Sat,0,Standard,Delayed
ORD000229,32,3.7,730.79,Low,8.08,4.51,0.71,Thu,0,Standard,On-Time
ORD000230,4,4.64,1408.65,High,9.38,4.8,0.62,Sun,0,Standard,Delayed
ORD000231,11,4.99,361.57,Medium,4.55,3.9,0.55,Wed,0,Standard,On-Time
ORD000232,17,2.56,729.83,Medium,0.86,4.92,0.97,Thu,0,Standard,At Risk
ORD000233,38,3.5,586.16,Medium,9.38,3.48,0.94,Mon,0,Express,At Risk
ORD000234,24,6.34,1205.06,Low,0.8,3.11,0.44,Wed,1,Express,Delayed
ORD000235,5,7.56,329.69,High,1.59,2.94,0.28,Mon,0,Standard,Delayed
ORD000236,34,6.96,1099.66,Low,8.68,3.7,0.51,Thu,0,Standard,At Risk
ORD000237,6,4.73,1715.81,Medium,5.51,2.83,0.75,Thu,0,Prime,At Risk
ORD000238,22,3.58,1030.77,Medium,3.53,4.69,0.4,Tue,0,Prime,At Risk
ORD000239,11,3.0,1368.58,High,9.31,4.46,0.54,Sat,0,Prime,At Risk
ORD000240,48,1.44,155.12,Low,9.61,3.91,0.3,Mon,0,Standard,On-Time
ORD000241,16,1.3,900.77,Medium,3.31,4.3,0.43,Mon,0,Standard,At Risk
ORD000242,33,5.66,194.31,Medium,8.68,2.62,0.96,Fri,1,Standard,At Risk
ORD000243,9,2.45,1200.93,Medium,6.79,3.01,0.21,Fri,0,Standard,Delayed
ORD000244,6,2.41,565.7,Low,2.74,4.05,0.99,Fri,1,Express,At Risk
ORD000245,16,7.99,578.1,Medium,9.41,3.69,0.22,Fri,0,Express,At Risk
ORD000246,29,1.91,158.15,Low,0.63,4.01,0.32,Mon,0,Standard,On-Time
ORD000247,3,1.61,623.92,Medium,3.18,2.72,0.09,Tue,0,Prime,At Risk
ORD000248,20,1.24,1015.82,Medium,3.96,4.13,0.75,Fri,1,Standard,At Risk
ORD000249,36,4.85,1171.4,High,6.91,4.51,0.02,Mon,1,Prime,At Risk
ORD000250,19,5.21,138.0,Medium,0.38,3.87,0.79,Tue,0,Express,At Risk
ORD000251,26,3.24,1304.66,Medium,8.9,3.39,0.58,Tue,0,Express,Delayed
ORD000252,3,4.52,980.31,Low,6.59,2.94,0.75,Fri,0,Express,On-Time
ORD000253,19,6.41,1076.13,Medium,2.75,3.16,0.78,Mon,1,Express,Delayed
ORD000254,20,6.64,1666.43,High,6.58,3.81,0.12,Wed,0,Standard,Delayed
ORD000255,32,7.68,687.74,Medium,5.37,3.14,0.02,Mon,1,Express,Delayed
ORD000256,7,6.68,352.23,Medium,3.36,4.44,0.17,Sun,0,Standard,At Risk
ORD000257,41,4.74,1105.86,Medium,0.29,2.83,0.38,Sun,0,Standard,Delayed
ORD000258,33,1.85,1890.32,Medium,5.51,3.79,0.07,Tue,0,Standard,At Risk
ORD000259,40,1.25,1038.15,Medium,0.82,3.74,0.46,Thu,0,Standard,Delayed
ORD000260,39,0.91,1664.66,Low,8.1,2.85,0.29,Sun,0,Express,Delayed
ORD000261,18,5.5,1515.28,Medium,0.89,4.99,0.36,Fri,0,Express,Delayed
ORD000262,40,6.56,1039.07,Low,4.29,4.56,0.94,Sun,1,Standard,Delayed
ORD000263,1,4.32,1296.87,Medium,4.35,3.47,0.72,Tue,1,Express,Delayed
ORD000264,11,0.91,816.33,Medium,5.56,4.21,0.66,Sun,0,Express,At Risk
ORD000265,28,4.52,1063.6,High,0.4,4.29,0.65,Wed,0,Prime,Delayed
ORD000266,25,7.52,1017.04,Low,2.04,4.13,0.56,Wed,0,Standard,Delayed
ORD000267,23,4.98,1419.68,Medium,2.0,3.58,0.51,Wed,1,Prime,Delayed
ORD000268,31,6.57,822.91,Medium,5.99,4.71,0.88,Sun,0,Standard,At Risk
ORD000269,30,6.5,204.04,Low,2.64,4.43,0.08,Sun,0,Prime,At Risk
ORD000270,42,7.49,1578.48,Medium,1.44,3.86,0.29,Wed,1,Prime,Delayed
ORD000271,35,6.28,1371.28,Low,0.18,2.51,0.1,Sat,0,Standard,Delayed
ORD000272,7,6.11,1900.5,Low,8.41,3.06,0.01,Mon,1,Prime,Delayed
ORD000273,16,2.26,860.29,Low,9.72,3.77,0.01,Tue,0,Prime,On-Time
ORD000274,26,0.95,161.02,Medium,7.03,4.75,0.02,Wed,0,Standard,On-Time
ORD000275,48,4.38,247.63,High,4.13,4.07,0.68,Sun,0,Express,At Risk
ORD000276,49,1.43,1547.77,Low,1.22,3.54,0.11,Tue,1,Prime,At Risk
ORD000277,2,7.72,140.18,High,4.75,2.62,0.2,Sun,0,Standard,Delayed
ORD000278,1,2.67,1816.11,Medium,4.57,3.99,0.42,Tue,0,Prime,At Risk
ORD000279,48,6.9,566.89,Medium,4.2,3.38,0.27,Sun,0,Standard,Delayed
ORD000280,12,3.41,1798.26,Medium,3.78,3.84,0.82,Thu,0,Express,At Risk
ORD000281,5,2.92,1548.15,High,4.97,4.42,0.62,Sun,0,Standard,Delayed
ORD000282,37,7.51,1743.05,Medium,0.73,4.51,0.33,Mon,0,Express,Delayed
ORD000283,32,3.22,432.01,High,0.38,4.66,0.32,Sun,0,Standard,At Risk
ORD000284,9,3.43,1193.41,Medium,0.64,4.09,0.68,Thu,0,Standard,Delayed
ORD000285,41,1.3,191.71,Low,2.0,4.76,0.17,Fri,0,Express,On-Time
ORD000286,35,5.53,408.55,High,2.78,4.23,0.28,Fri,0,Express,Delayed
ORD000287,19,2.67,623.25,High,1.69,4.46,0.35,Sat,0,Prime,At Risk
ORD000288,48,4.89,1482.92,Low,2.52,4.21,0.45,Fri,0,Prime,At Risk
ORD000289,16,4.94,54.31,High,1.86,4.68,0.19,Thu,1,Standard,At Risk
ORD000290,3,5.89,1806.72,Medium,1.51,3.06,0.16,Tue,0,Prime,Delayed
ORD000291,20,6.09,146.25,High,2.93,4.4,0.99,Sat,1,Express,Delayed
ORD000292,24,4.36,756.1,High,3.98,2.79,0.91,Fri,0,Express,At Risk
ORD000293,33,2.98,166.77,High,7.44,2.73,0.52,Sat,0,Standard,At Risk
ORD000294,24,6.78,1539.09,High,9.56,3.73,0.77,Fri,0,Standard,Delayed
ORD000295,11,2.82,286.92,Low,9.19,3.25,0.67,Thu,0,Standard,On-Time
ORD000296,49,4.31,1770.09,Low,4.76,3.91,0.08,Sun,0,Prime,At Risk
ORD000297,8,3.51,1062.79,Low,4.61,4.19,0.52,Tue,0,Standard,At Risk
